TABLE_NAME	COLUMN_NAME	DATA_TYPE
item_attr	foots	int
item_attr	neck	int
item_attr	head	int
item_attr	shield	int
item_attr	ear	int
item_attr	costume_body	int
item_attr	costume_hair	int
item_attr	costume_weapon	int
item_attr	pendant	int
item_attr	glove	int
item_attr_rare	apply	enum
item_attr_rare	prob	int
item_attr_rare	lv1	int
item_attr_rare	lv2	int
item_attr_rare	lv3	int
item_attr_rare	lv4	int
item_attr_rare	lv5	int
item_attr_rare	weapon	int
item_attr_rare	body	int
item_attr_rare	wrist	int
item_attr_rare	foots	int
item_attr_rare	neck	int
item_attr_rare	head	int
item_attr_rare	shield	int
item_attr_rare	ear	int
item_attr_rare	costume_body	int
item_attr_rare	costume_hair	int
item_attr_rare	costume_weapon	int
item_attr_rare	pendant	int
item_attr_rare	glove	int
item_attr_wolfman	apply	enum
item_attr_wolfman	prob	int
item_attr_wolfman	lv1	int
item_attr_wolfman	lv2	int
item_attr_wolfman	lv3	int
item_attr_wolfman	lv4	int
item_attr_wolfman	lv5	int
item_attr_wolfman	weapon	int
item_attr_wolfman	body	int
item_attr_wolfman	wrist	int
item_attr_wolfman	foots	int
item_attr_wolfman	neck	int
item_attr_wolfman	head	int
item_attr_wolfman	shield	int
item_attr_wolfman	ear	int
item_attr_wolfman	costume_body	int
item_attr_wolfman	costume_hair	int
item_attr_wolfman	costume_weapon	int
item_attr_wolfman	pendant	int
item_attr_wolfman	glove	int
item_award	id	int
item_award	login	varchar
item_award	vnum	int
item_award	count	int
item_award	given_time	datetime
item_award	taken_time	datetime
item_award	item_id	int
item_award	why	varchar
item_award	socket0	int
item_award	socket1	int
item_award	socket2	int
item_award	attrtype0	tinyint
item_award	attrvalue0	smallint
item_award	attrtype1	tinyint
item_award	attrvalue1	smallint
item_award	attrtype2	tinyint
item_award	attrvalue2	smallint
item_award	attrtype3	tinyint
item_award	attrvalue3	smallint
item_award	attrtype4	tinyint
item_award	attrvalue4	smallint
item_award	attrtype5	tinyint
item_award	attrvalue5	smallint
item_award	attrtype6	tinyint
item_award	attrvalue6	smallint
item_award	mall	tinyint
item_proto	vnum	int
item_proto	name	varbinary
item_proto	locale_name	varbinary
item_proto	type	tinyint
item_proto	subtype	tinyint
item_proto	weight	tinyint
item_proto	size	tinyint
item_proto	antiflag	int
item_proto	flag	int
item_proto	wearflag	int
item_proto	immuneflag	set
item_proto	gold	bigint
item_proto	shop_buy_price	int
item_proto	refined_vnum	int
item_proto	refine_set	smallint
item_proto	refine_set2	smallint
item_proto	magic_pct	tinyint
item_proto	limittype0	tinyint
item_proto	limitvalue0	int
item_proto	limittype1	tinyint
item_proto	limitvalue1	int
item_proto	applytype0	tinyint
item_proto	applyvalue0	int
item_proto	applytype1	tinyint
item_proto	applyvalue1	int
item_proto	applytype2	tinyint
item_proto	applyvalue2	int
item_proto	value0	int
item_proto	value1	int
item_proto	value2	int
item_proto	value3	int
item_proto	value4	int
item_proto	value5	int
item_proto	socket0	tinyint
item_proto	socket1	tinyint
item_proto	socket2	tinyint
item_proto	socket3	tinyint
item_proto	socket4	tinyint
item_proto	socket5	tinyint
item_proto	specular	tinyint
item_proto	socket_pct	tinyint
item_proto	addon_type	smallint
land	id	int
land	map_index	int
land	x	int
land	y	int
land	width	int
land	height	int
land	guild_id	int
land	guild_level_limit	tinyint
land	price	int
land	enable	enum
lotto_list	id	int
lotto_list	server	varchar
lotto_list	pid	int
lotto_list	time	datetime
marriage	is_married	tinyint
marriage	pid1	int
marriage	pid2	int
marriage	love_point	int
marriage	time	int
messenger_list	account	varchar
messenger_list	companion	varchar
mob_proto	vnum	int
mob_proto	name	varchar
mob_proto	locale_name	varbinary
mob_proto	rank	tinyint
mob_proto	type	tinyint
mob_proto	battle_type	tinyint
mob_proto	level	smallint
mob_proto	size	enum
mob_proto	ai_flag	set
mob_proto	mount_capacity	tinyint
mob_proto	setRaceFlag	set
mob_proto	setImmuneFlag	set
mob_proto	empire	tinyint
mob_proto	folder	varchar
mob_proto	on_click	tinyint
mob_proto	st	smallint
mob_proto	dx	smallint
mob_proto	ht	smallint
mob_proto	iq	smallint
mob_proto	damage_min	smallint
mob_proto	damage_max	smallint
mob_proto	max_hp	int
mob_proto	regen_cycle	tinyint
mob_proto	regen_percent	tinyint
mob_proto	gold_min	bigint
mob_proto	gold_max	bigint
mob_proto	exp	int
mob_proto	def	smallint
mob_proto	attack_speed	smallint
mob_proto	move_speed	smallint
mob_proto	aggressive_hp_pct	tinyint
mob_proto	aggressive_sight	smallint
mob_proto	attack_range	smallint
mob_proto	drop_item	int
mob_proto	resurrection_vnum	int
mob_proto	enchant_curse	tinyint
mob_proto	enchant_slow	tinyint
mob_proto	enchant_poison	tinyint
mob_proto	enchant_stun	tinyint
mob_proto	enchant_critical	tinyint
mob_proto	enchant_penetrate	tinyint
mob_proto	resist_sword	tinyint
mob_proto	resist_twohand	tinyint
mob_proto	resist_dagger	tinyint
mob_proto	resist_bell	tinyint
mob_proto	resist_fan	tinyint
mob_proto	resist_bow	tinyint
mob_proto	resist_fire	tinyint
mob_proto	resist_elect	tinyint
mob_proto	resist_magic	tinyint
mob_proto	resist_wind	tinyint
mob_proto	resist_poison	tinyint
mob_proto	dam_multiply	float
mob_proto	summon	int
mob_proto	drain_sp	int
mob_proto	mob_color	int
mob_proto	polymorph_item	int
mob_proto	skill_level0	tinyint
mob_proto	skill_vnum0	int
mob_proto	skill_level1	tinyint
mob_proto	skill_vnum1	int
mob_proto	skill_level2	tinyint
mob_proto	skill_vnum2	int
mob_proto	skill_level3	tinyint
mob_proto	skill_vnum3	int
mob_proto	skill_level4	tinyint
mob_proto	skill_vnum4	int
mob_proto	sp_berserk	tinyint
mob_proto	sp_stoneskin	tinyint
mob_proto	sp_godspeed	tinyint
mob_proto	sp_deathblow	tinyint
mob_proto	sp_revive	tinyint
monarch	empire	int
monarch	pid	int
monarch	windate	datetime
monarch	money	bigint
monarch_candidacy	pid	int
monarch_candidacy	date	datetime
monarch_candidacy	name	varchar
monarch_candidacy	windate	datetime
monarch_election	pid	int
monarch_election	selectedpid	int
monarch_election	electiondata	datetime
myshop_pricelist	owner_id	int
myshop_pricelist	item_vnum	int
myshop_pricelist	price	int
object	id	int
object	land_id	int
object	vnum	int
object	map_index	int
object	x	int
object	y	int
object	x_rot	float
object	y_rot	float
object	z_rot	float
object	life	int
object_proto	vnum	int
object_proto	name	varchar
object_proto	price	int
object_proto	materials	varchar
object_proto	upgrade_vnum	int
object_proto	upgrade_limit_time	int
object_proto	life	int
object_proto	reg_1	int
object_proto	reg_2	int
object_proto	reg_3	int
object_proto	reg_4	int
object_proto	npc	int
object_proto	group_vnum	int
object_proto	dependent_group	int
pcbang_ip	id	int
pcbang_ip	pcbang_id	int
pcbang_ip	ip	varchar
player	id	int
player	account_id	int
player	name	varchar
player	job	tinyint
player	voice	tinyint
player	dir	tinyint
player	x	int
player	y	int
player	z	int
player	map_index	int
player	exit_x	int
player	exit_y	int
player	exit_map_index	int
player	hp	int
player	mp	int
player	stamina	smallint
player	random_hp	smallint
player	random_sp	smallint
player	playtime	int
player	level	tinyint
player	level_step	tinyint
player	st	smallint
player	ht	smallint
player	dx	smallint
player	iq	smallint
player	exp	int
player	gold	bigint
player	cheque	int
player	stat_point	smallint
player	skill_point	smallint
player	quickslot	tinyblob
player	ip	varchar
player	part_main	int
player	part_base	tinyint
player	part_hair	int
player	part_acce	int
player	skill_group	tinyint
player	skill_level	blob
player	alignment	int
player	last_play	datetime
player	change_name	tinyint
player	mobile	varchar
player	sub_skill_point	smallint
player	stat_reset_count	tinyint
player	horse_hp	smallint
player	horse_stamina	smallint
player	horse_level	tinyint
player	horse_hp_droptime	int
player	horse_riding	tinyint
player	horse_skill_point	smallint
player_deleted	id	int
player_deleted	account_id	int
player_deleted	name	varchar
player_deleted	job	tinyint
player_deleted	voice	tinyint
player_deleted	dir	tinyint
player_deleted	x	int
player_deleted	y	int
player_deleted	z	int
player_deleted	map_index	int
player_deleted	exit_x	int
player_deleted	exit_y	int
player_deleted	exit_map_index	int
player_deleted	hp	int
player_deleted	mp	int
player_deleted	stamina	smallint
player_deleted	random_hp	smallint
player_deleted	random_sp	smallint
player_deleted	playtime	int
player_deleted	level	tinyint
player_deleted	level_step	tinyint
player_deleted	st	smallint
player_deleted	ht	smallint
player_deleted	dx	smallint
player_deleted	iq	smallint
player_deleted	exp	int
player_deleted	gold	bigint
player_deleted	cheque	int
player_deleted	stat_point	smallint
player_deleted	skill_point	smallint
player_deleted	quickslot	tinyblob
player_deleted	ip	varchar
player_deleted	part_main	int
player_deleted	part_base	tinyint
player_deleted	part_hair	int
player_deleted	part_acce	int
player_deleted	skill_group	tinyint
player_deleted	skill_level	blob
player_deleted	alignment	int
player_deleted	last_play	datetime
player_deleted	change_name	tinyint
player_deleted	mobile	varchar
player_deleted	sub_skill_point	smallint
player_deleted	stat_reset_count	tinyint
player_deleted	horse_hp	smallint
player_deleted	horse_stamina	smallint
player_deleted	horse_level	tinyint
player_deleted	horse_hp_droptime	int
player_deleted	horse_riding	tinyint
player_deleted	horse_skill_point	smallint
player_index	id	int
player_index	pid1	int
player_index	pid2	int
player_index	pid3	int
player_index	pid4	int
player_index	pid5	int
player_index	empire	tinyint
quest	dwPID	int
quest	szName	varchar
quest	szState	varchar
quest	lValue	int
refine_proto	id	int
refine_proto	vnum0	int
refine_proto	count0	smallint
refine_proto	vnum1	int
refine_proto	count1	smallint
refine_proto	vnum2	int
refine_proto	count2	smallint
refine_proto	vnum3	int
refine_proto	count3	smallint
refine_proto	vnum4	int
refine_proto	count4	smallint
refine_proto	cost	bigint
refine_proto	src_vnum	int
refine_proto	result_vnum	int
refine_proto	prob	smallint
safebox	account_id	int
safebox	size	tinyint
safebox	password	varchar
safebox	gold	bigint
shop	vnum	int
shop	name	varchar
shop	npc_vnum	smallint
shop_item	shop_vnum	int
shop_item	item_vnum	int
shop_item	count	tinyint
skill_proto	dwVnum	int
skill_proto	szName	varbinary
skill_proto	bType	tinyint
skill_proto	bLevelStep	tinyint
skill_proto	bMaxLevel	tinyint
skill_proto	bLevelLimit	tinyint
skill_proto	szPointOn	enum
skill_proto	szPointPoly	varchar
skill_proto	szSPCostPoly	varchar
skill_proto	szDurationPoly	varchar
skill_proto	szDurationSPCostPoly	varchar
skill_proto	szCooldownPoly	varchar
skill_proto	szMasterBonusPoly	varchar
skill_proto	szAttackGradePoly	varchar
skill_proto	setFlag	set
skill_proto	setAffectFlag	enum
skill_proto	szPointOn2	enum
skill_proto	szPointPoly2	varchar
skill_proto	szDurationPoly2	varchar
skill_proto	setAffectFlag2	enum
skill_proto	szPointOn3	varchar
skill_proto	szPointPoly3	varchar
skill_proto	szDurationPoly3	varchar
skill_proto	szGrandMasterAddSPCostPoly	varchar
skill_proto	prerequisiteSkillVnum	int
skill_proto	prerequisiteSkillLevel	int
skill_proto	eSkillType	enum
skill_proto	iMaxHit	tinyint
skill_proto	szSplashAroundDamageAdjustPoly	varchar
skill_proto	dwTargetRange	int
skill_proto	dwSplashRange	int
sms_pool	id	int
sms_pool	server	int
sms_pool	sender	varchar
sms_pool	receiver	varchar
sms_pool	mobile	varchar
sms_pool	sent	enum
sms_pool	msg	varchar
string	name	varchar
string	text	text
